Review,Score,Sentiment
Nice Phone Overall Best Phone,0.7905694150420948,Positive
Awesome ... performance is too good...smooth display.camera street mode is perfect.Go for it.,0.6248933269389457,Positive
"Nice phone in this range, best thing is amoled screen.",0.8316320352807864,Positive
Best multifunction mobile,0.6369499429264264,Positive
Good camera,0.44043357076016854,Positive
I loving it....but bgmi laging some time,0.5993731596731062,Positive
Phone is very good,0.5401770601595847,Positive
Awesome 👍🙋,0.8221298315471866,Positive
Design - Awesome Looking Dimensity 7050 5G Processor - GoodAmoled Display - DecentSound Experience is also GoodCamera Quality - superB Smoothly Running All Apps.,0.858821494999519,Positive
Display brightness good.but battery drains fast... heating problem..,-0.025811286645983332,Neutral
Very nice product 👍👍,0.47542834443202786,Positive
"It's a very amazing product everything is good. camara, Display, features, and design are all awesome.",0.9078554807591372,Positive
All over its a good device..,0.44043357076016854,Positive
Good in Low cost,0.2022886949696694,Positive
Super 5star,0.5993731596731062,Positive
"Value for Money Product in this price.I recently searching for a value for money product under 20000 rupees. Finally I got a product which has everything justified the value. Display is great, camera is average but good as this price range. Design and colour combination is fantastic....... Flipkart delivery is also great 😍😍😍😍",0.9914981662085222,Positive
"Best camera as per price(5/5)Battery management can be more efficient (4/5)Display perfect (5/5)During charging backside feel little bit warm.(4/5)No lag feel (4/5, only 2 day experience )In display fingerprint scanner (4/5, in my old phone side mont that's feel little faster ) No NFC sensor as mention, in this price range company should provided.one word- cost worthy, if you don't need ir and nfc",0.4472058962574062,Positive
Camara is average😌 front camara nice 👍 display very nice 👍 designs is nice 👍 battry is good 👍charger fast👍 processor very nice 👍,0.9528736785139206,Positive
Overall good 👍😊 display is superCamera is also good,0.9020292896049433,Positive
The item is overall good.,0.44043357076016854,Positive
I'm in love with the back colour of this device kaffi premium look feel deta h,0.6369499429264264,Positive
Bast phone 😘😘😘,0.812604508328942,Positive
I love you realme phone,0.6369499429264264,Positive
Nice camera,0.4214636152117623,Positive
Product very good,0.4927250317396701,Positive
Very nice 💯 hai,0.47542834443202786,Positive
Value for money. Realme does not disappoint.,0.5658526641823985,Positive
Realme P1 5G best deal in this price segment.....In display fingerprint Quality best...Display Quality best...Battery 6 hr Only but...Charging Time 1hr::15minuts so good...Camera Quality good...Camera Disign circle looking not good... build Quality Good...No Heat and No Hang,0.15159753497678694,Positive
Over all Super Realme P1 Phone Thank you so much Flipkart and Thanks Delivery Boy 😍😍😍,0.9538323433784163,Positive
"Superb phone this price range Amoled display, in display fingerprint sensor Duol speaker, 45 waat charge 1 hours full charge",0.6248933269389457,Positive
Under 15k best smartphone,0.6369499429264264,Positive
Very nice phone over all very good I am very happy,0.890298845148401,Positive
Good camera 😊😊😊,0.963305429628446,Positive
Very good,0.4927250317396701,Positive
Very nice smartphone 🫠🫠,0.47542834443202786,Positive
This is very good product,0.5401770601595847,Positive
budget segment phone👍👍Camara Avg😊Display supb👌.,0.90285508048894,Positive
Nice performance nice phone clinical performance,0.6808225270250103,Positive
Every thing is fair and lovely❤️🥶🤧,0.7501082854664988,Positive
